"2023-01-21 04:44:39am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '147' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-navy-blue-floral-kaani-woven-design-shawl-navy-vne98q7y-147 "," R: http://localhost/EthnicWear/shop"
"2023-01-21 04:47:06am "," update "," UPDATE user SET `last_login` = '2023-01-21 04:47:06' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/login-check "," R: http://localhost/EthnicWear/admin"
"2023-01-21 04:54:48am "," update "," UPDATE product_details SET `view_count` = 155 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
