"2022-09-06 01:01:49am "," update "," UPDATE product_details SET `product_name` = 'sports shoes for men', `product_code` = '#', `short_code` = 'sports-shoes-for-men', `short_description` = 'Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Grey)', `description` = '<table class=""fr-alternate-rows"" style=""width: 100%;""><tbody><tr><td style=""width: 33.1516%;""><strong>Color :</strong></td><td style=""width: 66.7393%;"">Grey</td></tr><tr><td style=""width: 33.1516%;""><strong>Inner Material :</strong></td><td style=""width: 66.7393%;"">Soft Breathable fabric</td></tr><tr><td style=""width: 33.1516%;""><strong>Outer material :</strong><br></td><td style=""width: 66.7393%;"">Mesh<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Model name :</strong><br></td><td style=""width: 66.7393%;"">Creta-12 sports shoes for men | Latest Stylish Casual sport shoes for men |<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Ideal for :</strong><br></td><td style=""width: 66.7393%;"">Men</td></tr><tr><td style=""width: 33.1516%;""><strong>Occasion :</strong><br></td><td style=""width: 66.7393%;"">Sports<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Sole material :</strong><br></td><td style=""width: 66.7393%;"">EVA<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Closure :</strong><br></td><td style=""width: 66.7393%;"">Lace-Ups<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Upper Pattern :</strong><br></td><td style=""width: 66.7393%;"">Solid<br></td></tr><tr><td style=""width: 33.1516%;""><strong>Care instructions :</strong><br></td><td style=""width: 66.7393%;"">Wipe with a clean, dry cloth when needed. These footwear are very easy to clean and wash.<br></td></tr></tbody></table><p><span style=""font-size: 18px;"">These stylish shoes are the perfect inspiration for a fashionable look. The comfortable sole makes sure that your feet stay comfortable throughout the day and you enjoy optimal Grip. Designed to offer comfort at its best, without compromising on style.</span></p>', `brand_id` = '14', `category_id` = '7', `child_category` = '48', `vendor_id` = '1', `mrp_price` = '1299', `discount` = '47', `net_price` = '688.47', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = '47'_amt, `cover_img` = 'cover_image.jpg', `stock` = '10', `is_new_product` = 1, `is_popular_product` = 1, `is_feature_product` = 0, `meta_title` = 'Sports Shoes', `meta_keyword` = 'Sports Shoes', `meta_description` = 'Sports Shoes', `modified_by` = '1', `modified` = '2022-09-06 01:01:49', `is_active` = 1 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-06 01:01:49am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('14', 2, '10', '2022-09-06 01:01:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
"2022-09-06 01:01:49am "," update "," UPDATE product_details SET `image` = '109-1093417_transparent-sport-shoes-png-png-download.png|images (1).jpg|images.jpg' WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/14"
