"2022-11-30 04:08:52am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-11-30 04:08:55am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:08:58am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '17' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:09:00am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '24' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-xl-teal-vnky8c75-17"
"2022-11-30 04:09:09am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-xxl-green-vnky8c75-24"
"2022-11-30 04:09:12am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-11-30 04:09:16am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21"
"2022-11-30 04:09:20am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '21' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:09:23am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-olive-green-printed-tropical-slim-fit-t-shirt-m-green-vnky8c75-21"
"2022-11-30 04:09:26am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:09:50am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-11-30 04:09:54am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
"2022-11-30 04:09:58am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-11-30 04:10:00am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:11:08am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:11:11am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-l-teal-vnky8c75-16"
"2022-11-30 04:11:13am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-11-30 04:11:15am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '25' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15"
"2022-11-30 04:11:18am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '15' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-m-teal-vnky8c75-15 "," R: http://localhost/MultiVendor/product-detail/men-mustard-yellow-printed-slim-fit-pure-cotton-t-shirt-l-mustard-vnky8c75-25"
