"2022-11-30 22:20:44pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2022-11-30 22:20:48pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-11-30 22:20:51pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2022-11-30 22:20:55pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '128' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2022-11-30 22:20:58pm "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128"
"2022-11-30 22:21:01pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2022-11-30 22:21:10pm "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '120' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-11-30 22:21:18pm "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-red-vnky8c75-120"
"2022-11-30 22:21:22pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '123' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-yellow-vnky8c75-123 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2022-11-30 22:21:25pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-yellow-vnky8c75-124 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-yellow-vnky8c75-123"
