"2022-08-02 22:34:35pm "," update "," UPDATE menu_details SET `menu_name` = 'Elements', `menu_link` = '#', `menu_icon` = 'slack', `menu_position` = '3', `submenu_id` = '5,6', `menu_update_by` = '1', `menu_update_date` = '2022-08-02 19:04:35', `menu_status` = 1 WHERE 1=1  and menu_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/3"
"2022-08-02 22:35:11pm "," update "," UPDATE submenu_details SET `submenu_name` = 'add element', `submenu_link` = 'add-elements', `submenu_position` = '1', `modified_by` = '1', `modified` = '2022-08-02 19:05:11', `is_active` = 1 WHERE 1=1  and submenu_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/5"
"2022-08-02 22:35:43pm "," update "," UPDATE submenu_details SET `submenu_name` = 'elements', `submenu_link` = 'elements', `submenu_position` = '2', `modified_by` = '1', `modified` = '2022-08-02 19:05:43', `is_active` = 1 WHERE 1=1  and submenu_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/6"
