"2022-08-02 23:44:47pm "," update "," UPDATE menu_details SET `menu_name` = 'attributes', `menu_link` = '#', `menu_icon` = 'shield', `menu_position` = '5', `submenu_id` = '9,10', `menu_update_by` = '1', `menu_update_date` = '2022-08-02 20:14:47', `menu_status` = 1 WHERE 1=1  and menu_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/5"
"2022-08-02 23:45:14pm "," update "," UPDATE submenu_details SET `submenu_name` = 'add attributes', `submenu_link` = 'add-attributes', `submenu_position` = '1', `modified_by` = '1', `modified` = '2022-08-02 20:15:14', `is_active` = 1 WHERE 1=1  and submenu_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/9"
"2022-08-02 23:45:46pm "," update "," UPDATE submenu_details SET `submenu_name` = 'attributes', `submenu_link` = 'attributes', `submenu_position` = '2', `modified_by` = '1', `modified` = '2022-08-02 20:15:46', `is_active` = 1 WHERE 1=1  and submenu_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/10"
