"2022-09-16 04:00:56am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:00:58am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:01:20am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:01:33am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:01:56am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:08:18am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:15:24am "," update "," UPDATE orders SET `delivery_status_id` = '6' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:16:08am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:16:12am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 04:27:26am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
