"2022-09-16 00:24:16am "," update "," UPDATE user SET `last_login` = '2022-09-16 00:24:16' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-09-16 00:31:03am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:31:08am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:31:12am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:32:51am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:33:16am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:33:19am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:33:21am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:33:23am "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-09-16 00:51:39am "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
