"2022-10-01 22:31:46pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:31:46pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:48pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:49pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:49pm "," update "," UPDATE customer_cart SET `quantity` = '4' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:49pm "," update "," UPDATE customer_cart SET `quantity` = '5' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:50pm "," update "," UPDATE customer_cart SET `quantity` = '6' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:50pm "," update "," UPDATE customer_cart SET `quantity` = '7' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:51pm "," update "," UPDATE customer_cart SET `quantity` = '8' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:51pm "," update "," UPDATE customer_cart SET `quantity` = '9' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:32:52pm "," update "," UPDATE customer_cart SET `quantity` = '10' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:33:56pm "," update "," UPDATE customer_cart SET `quantity` = '11' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:29pm "," update "," UPDATE customer_cart SET `quantity` = '16' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:29pm "," update "," UPDATE customer_cart SET `quantity` = '15' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:29pm "," update "," UPDATE customer_cart SET `quantity` = '14' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:29pm "," update "," UPDATE customer_cart SET `quantity` = '13' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:29pm "," update "," UPDATE customer_cart SET `quantity` = '12' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:30pm "," update "," UPDATE customer_cart SET `quantity` = '11' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:30pm "," update "," UPDATE customer_cart SET `quantity` = '10' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:30pm "," update "," UPDATE customer_cart SET `quantity` = '9' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:30pm "," update "," UPDATE customer_cart SET `quantity` = '8' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-10-01 22:36:30pm "," update "," UPDATE customer_cart SET `quantity` = '7' WHERE 1=1  and customer_id = '1' and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
