"2022-12-29 01:43:59am "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 01:43:59am "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/shop"
"2022-12-29 01:44:00am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/black-sequins-embellished-net-cape-top-s-black-1y-3y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
