"2022-09-26 23:37:34pm "," update "," UPDATE category SET `child_category` = '64,65' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:37:52pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Sportswear', 'sportswear', '60', '', 'Sportswear for women', '', '1', '', '', '', '', '2022-09-26 23:37:52') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:37:52pm "," update "," UPDATE category SET `hierarchy` = '59,60,66' WHERE 1=1  and category_id = '66' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:37:52pm "," update "," UPDATE category SET `child_category` = '64,65,66' WHERE 1=1  and category_id = '60' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:40pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('T-Shirts & Polos', 't-shirts-&-polos', '61', '', 'T-Shirts & Polos for Mens', '', '1', '', '', '', '', '2022-09-26 23:39:40') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:40pm "," update "," UPDATE category SET `hierarchy` = '59,61,67' WHERE 1=1  and category_id = '67' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:40pm "," update "," UPDATE category SET `child_category` = '67' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:55pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Shirts', 'shirts', '61', '', 'Shirts for Mens', '', '1', '', '', '', '', '2022-09-26 23:39:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:55pm "," update "," UPDATE category SET `hierarchy` = '59,61,68' WHERE 1=1  and category_id = '68' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:39:55pm "," update "," UPDATE category SET `child_category` = '67,68' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:17pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Jeans', 'jeans', '61', '', 'Jeans for Men', '', '1', '', '', '', '', '2022-09-26 23:40:17') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:17pm "," update "," UPDATE category SET `hierarchy` = '59,61,69' WHERE 1=1  and category_id = '69' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:17pm "," update "," UPDATE category SET `child_category` = '67,68,69' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:39pm "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Sportswear', 'sportswear', '61', '', 'Sportswear for Mens', '', '1', '', '', '', '', '2022-09-26 23:40:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:39pm "," update "," UPDATE category SET `hierarchy` = '59,61,70' WHERE 1=1  and category_id = '70' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-09-26 23:40:39pm "," update "," UPDATE category SET `child_category` = '67,68,69,70' WHERE 1=1  and category_id = '61' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
