"2022-10-06 23:11:51pm "," insert "," INSERT INTO menu_details(`menu_name`, `menu_link`, `menu_icon`, `menu_position`, `submenu_id`, `menu_add_by`, `menu_add_date`, `menu_status`) VALUES('Offer', 'offer', 'gift', '15', '', '1', '2022-10-06 23:11:51', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/add-menu"
"2022-10-06 23:12:31pm "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2022-10-06 23:12:31', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/1"
"2022-10-06 23:12:37pm "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-10-06 23:12:37', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/2"
