"2022-08-24 00:24:44am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Sports', 'sports', '', '2', 'Sports', '', '1', '2022-08-24 00:24:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:24:44am "," update "," UPDATE category SET `hierarchy` = '7' WHERE 1=1  and category_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:24:44am "," update "," UPDATE category SET `child_category` = '7' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:26:22am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Home Appliances', 'home-appliances', '', '2,3,7,9', 'Home Appliances', '', '1', '2022-08-24 00:26:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:26:22am "," update "," UPDATE category SET `hierarchy` = '8' WHERE 1=1  and category_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:26:22am "," update "," UPDATE category SET `child_category` = '8' WHERE 1=1  and category_id = '' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:28:33am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Laptops & Desktops', 'laptops-&-desktops', '1', '', 'Laptops & Desktops', '', '1', '2022-08-24 00:28:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:28:33am "," update "," UPDATE category SET `hierarchy` = '1,9' WHERE 1=1  and category_id = '9' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:28:33am "," update "," UPDATE category SET `child_category` = '9' WHERE 1=1  and category_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 00:29:09am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Headphones & Speakers', 'headphones-&-speakers', '1', '', 'Headphones & Speakers', '', '1', '2022-08-24 00:29:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
