"2022-08-24 01:49:18am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Wardrobes', 'wardrobes', '6', '', 'Wardrobes', '', '1', '2022-08-24 01:49:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:18am "," update "," UPDATE category SET `hierarchy` = '6,43' WHERE 1=1  and category_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:18am "," update "," UPDATE category SET `child_category` = '40,41,42,43' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Laptop Tables', 'laptop-tables', '6', '', 'Laptop Tables', '', '1', '2022-08-24 01:49:48') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," update "," UPDATE category SET `hierarchy` = '6,44' WHERE 1=1  and category_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:49:48am "," update "," UPDATE category SET `child_category` = '40,41,42,43,44' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:14am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Mattresses', 'mattresses', '6', '', 'Mattresses', '', '1', '2022-08-24 01:50:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:14am "," update "," UPDATE category SET `hierarchy` = '6,45' WHERE 1=1  and category_id = '45' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:14am "," update "," UPDATE category SET `child_category` = '40,41,42,43,44,45' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:39am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('TV Units', 'tv-units', '6', '', 'TV Units', '', '1', '2022-08-24 01:50:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:39am "," update "," UPDATE category SET `hierarchy` = '6,46' WHERE 1=1  and category_id = '46' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:50:39am "," update "," UPDATE category SET `child_category` = '40,41,42,43,44,45,46' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:51:34am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Bean bags', 'bean-bags', '6', '', 'Bean bags', '', '1', '2022-08-24 01:51:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:51:34am "," update "," UPDATE category SET `hierarchy` = '6,47' WHERE 1=1  and category_id = '47' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:51:34am "," update "," UPDATE category SET `child_category` = '40,41,42,43,44,45,46,47' WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-24 01:52:31am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Sports Shoes', 'sports-shoes', '7', '', 'Sports Shoes', '', '1', '2022-08-24 01:52:31') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
