"2022-08-24 02:16:39am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('WOW', 'wow', '', '1', '2022-08-24 02:16:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:17:21am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Skechers', 'skechers', '', '1', '2022-08-24 02:17:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:17:29am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('RED CHIEF', 'red-chief', '', '1', '2022-08-24 02:17:29') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:17:38am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('WOODLAND', 'woodland', '', '1', '2022-08-24 02:17:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:17:47am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('LEE COOPER', 'lee-cooper', '', '1', '2022-08-24 02:17:47') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:17:54am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('WROGN', 'wrogn', '', '1', '2022-08-24 02:17:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:18:02am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Bata', 'bata', '', '1', '2022-08-24 02:18:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:18:22am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Sparx', 'sparx', '', '1', '2022-08-24 02:18:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:18:40am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Roadster', 'roadster', '', '1', '2022-08-24 02:18:40') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:21:06am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('TP-Link', 'tp-link', '', '1', '2022-08-24 02:21:06') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:21:16am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Huawei', 'huawei', '', '1', '2022-08-24 02:21:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:21:26am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('NETGEAR', 'netgear', '', '1', '2022-08-24 02:21:26') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:21:44am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('D-Link', 'd-link', '', '1', '2022-08-24 02:21:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:22:16am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('SANDISK', 'sandisk', '', '1', '2022-08-24 02:22:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:22:44am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('D-Link', 'd-link', '', '1', '2022-08-24 02:22:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:22:51am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('ZEBRONICS', 'zebronics', '', '1', '2022-08-24 02:22:51') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:23:05am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Lenovo', 'lenovo', '', '1', '2022-08-24 02:23:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:23:36am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('PHILIPS', 'philips', '', '1', '2022-08-24 02:23:36') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:24:07am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('iball', 'iball', '', '1', '2022-08-24 02:24:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:26:53am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Seagate', 'seagate', '', '1', '2022-08-24 02:26:53') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:28:39am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Ampire', 'ampire', '', '1', '2022-08-24 02:28:39') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:28:49am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Aquire', 'aquire', '', '1', '2022-08-24 02:28:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:28:56am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Titan', 'titan', '', '1', '2022-08-24 02:28:56') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:32:10am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Insleep', 'insleep', '', '1', '2022-08-24 02:32:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:32:47am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('FLO', 'flo', '', '1', '2022-08-24 02:32:47') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:00am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Tata', 'tata', '', '1', '2022-08-24 02:36:00') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:08am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Maggi', 'maggi', '', '1', '2022-08-24 02:36:08') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:15am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('FORTUNE', 'fortune', '', '1', '2022-08-24 02:36:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:22am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Happilo', 'happilo', '', '1', '2022-08-24 02:36:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:30am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Aashirvaad', 'aashirvaad', '', '1', '2022-08-24 02:36:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:38am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Mother Dairy', 'mother-dairy', '', '1', '2022-08-24 02:36:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:36:46am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Saffola', 'saffola', '', '1', '2022-08-24 02:36:46') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:37:53am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('DABUR', 'dabur', '', '1', '2022-08-24 02:37:53') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:38:05am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('BOURNVITA', 'bournvita', '', '1', '2022-08-24 02:38:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:38:12am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('PARLE', 'parle', '', '1', '2022-08-24 02:38:12') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:40:13am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Everest', 'everest', '', '1', '2022-08-24 02:40:13') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:42:05am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Unibic', 'unibic', '', '1', '2022-08-24 02:42:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:42:18am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Sunfeast', 'sunfeast', '', '1', '2022-08-24 02:42:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:42:28am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Britannia', 'britannia', '', '1', '2022-08-24 02:42:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2022-08-24 02:42:36am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Oreo', 'oreo', '', '1', '2022-08-24 02:42:36') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
