"2022-10-12 21:10:14pm "," update "," UPDATE user SET `last_login` = '2022-10-12 21:10:14' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-10-12 21:10:59pm "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-10-12 21:11:02pm "," update "," UPDATE orders SET `delivery_status_id` = '1' WHERE 1=1  and order_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-10-12 21:11:32pm "," update "," UPDATE orders SET `delivery_status_id` = '4' WHERE 1=1  and order_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2022-10-12 21:57:50pm "," insert "," INSERT INTO menu_details(`menu_name`, `menu_link`, `menu_icon`, `menu_position`, `submenu_id`, `menu_add_by`, `menu_add_date`, `menu_status`) VALUES('Customers', 'customer', 'users', '17', '', '1', '2022-10-12 21:57:50', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/add-menu"
"2022-10-12 21:58:00pm "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2022-10-12 21:58:00', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/1"
"2022-10-12 21:58:06pm "," update "," UPDATE role SET `role_name` = 'Developer', `role_description` = '#', `updated_by` = '1', `update_at` = '2022-10-12 21:58:06', `is_active` = 1 WHERE 1=1  and role_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/2"
