"2022-09-28 03:17:33am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:17:41am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '4', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=4"
"2022-09-28 03:17:49am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:17:57am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:18:09am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:18:09am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:18:16am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:18:16am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:19:33am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:19:58am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:26:40am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '4' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-28 03:27:15am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:27:23am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '6', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:27:30am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:27:37am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '2', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:30:52am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:31:15am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/casual-regular-sleeves-floral-print-women-maroon-top?pid=2"
"2022-09-28 03:32:12am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '6', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:32:19am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:32:42am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:32:51am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:34:07am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:34:10am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '2' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:36:34am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '5', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=5"
"2022-09-28 03:38:05am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '6', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:38:11am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '6' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:38:16am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '5' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:40:56am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '6', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=6"
"2022-09-28 03:41:05am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-28 03:41:12am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '4', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=4"
"2022-09-28 03:41:20am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '4' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt?pid=4"
