"2022-11-26 02:45:56am "," update "," UPDATE category SET `child_category` = '24,25,26' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:46:21am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Ethnic Wear', 'indian-fusion-wear-ethnic-wear', '22', '', 'Ethnic Wear', 'CP3QYwA7WkGZtmtlODPxYlK6GcXuHmTDsFIKimTh2.jpeg', '1', '', '', '', '', '2022-11-26 02:46:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:46:21am "," update "," UPDATE category SET `hierarchy` = '2,22,27' WHERE 1=1  and category_id = '27' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:46:21am "," update "," UPDATE category SET `child_category` = '24,25,26,27' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:49:28am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Leggings, Salwars & Churidars', 'indian-fusion-wear-leggings-salwars-churidars', '22', '', 'Leggings, Salwars & Churidars', 'CP3QYwA7WkGZtmtlODPxYlK6GcXuHmTDsFIKimTh3.jpeg', '1', '', '', '', '', '2022-11-26 02:49:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:49:28am "," update "," UPDATE category SET `hierarchy` = '2,22,28' WHERE 1=1  and category_id = '28' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:49:28am "," update "," UPDATE category SET `child_category` = '24,25,26,27,28' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:05am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Tshirts', 'western-wear-tshirts', '23', '', 'Tshirts', 'tops4.jpg', '1', '', '', '', '', '2022-11-26 02:50:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:05am "," update "," UPDATE category SET `hierarchy` = '2,23,29' WHERE 1=1  and category_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:05am "," update "," UPDATE category SET `child_category` = '29' WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:22am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Jeans', 'western-wear-jeans', '23', '', 'Jeans', 'tights.jpg', '1', '', '', '', '', '2022-11-26 02:50:22') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:22am "," update "," UPDATE category SET `hierarchy` = '2,23,30' WHERE 1=1  and category_id = '30' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 02:50:22am "," update "," UPDATE category SET `child_category` = '29,30' WHERE 1=1  and category_id = '23' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
