"2023-01-20 21:10:39pm "," update "," UPDATE user SET `last_login` = '2023-01-20 21:10:39' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2023-01-20 21:41:47pm "," update "," UPDATE product_details SET `view_count` = 52 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 21:42:03pm "," update "," UPDATE product_details SET `view_count` = 142 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop?category=women"
"2023-01-20 21:42:30pm "," update "," UPDATE product_details SET `view_count` = 33 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-20 21:42:31pm "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2023-01-20 21:43:25pm "," update "," UPDATE product_details SET `view_count` = 34 WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:43:28pm "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-yellow-vnky8c75-122"
"2023-01-20 21:43:30pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:43:32pm "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126"
"2023-01-20 21:43:33pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '128' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-pink-vnky8c75-127"
"2023-01-20 21:43:35pm "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-xxl-pink-vnky8c75-128"
"2023-01-20 21:43:42pm "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:49:13pm "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:49:53pm "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:51:18pm "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-l-pink-vnky8c75-126 "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-pink-vnky8c75-125"
"2023-01-20 21:55:34pm "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '77' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-black-ethnic-motifs-printed-kurta-with-palazzos-with-dupatta-s-black-vnky8c75-77 "," R: http://localhost/MultiVendor/shop?category=women"
