"2023-01-20 02:10:49am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Available Offer', 'available-offer', '', '1', '2023-01-20 02:10:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2023-01-20 02:11:05am "," update "," UPDATE menu_details SET `menu_name` = 'Offer', `menu_link` = 'offer', `menu_icon` = 'gift', `menu_position` = '15', `submenu_id` = '35', `menu_update_by` = '1', `menu_update_date` = '2023-01-20 02:11:05', `menu_status` = 1 WHERE 1=1  and menu_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/16"
"2023-01-20 02:11:19am "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2023-01-20 02:11:19', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/1"
"2023-01-20 02:12:58am "," insert "," INSERT INTO submenu_details(`submenu_name`, `submenu_link`, `submenu_position`, `created_by`, `created`) VALUES('Category Offer ', 'offer', '1', '1', '2023-01-20 02:12:58') "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/add-submenu"
"2023-01-20 02:13:06am "," update "," UPDATE menu_details SET `menu_name` = 'Offer', `menu_link` = 'offer', `menu_icon` = 'gift', `menu_position` = '15', `submenu_id` = '35,36', `menu_update_by` = '1', `menu_update_date` = '2023-01-20 02:13:06', `menu_status` = 1 WHERE 1=1  and menu_id = '16' "," ::1 "," URL: http://localhost/MultiVendor/submit-menu "," R: http://localhost/MultiVendor/edit-menu/16"
"2023-01-20 02:13:14am "," update "," UPDATE role SET `role_name` = 'Admin', `role_description` = 'test', `updated_by` = '1', `update_at` = '2023-01-20 02:13:14', `is_active` = 1 WHERE 1=1  and role_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-role "," R: http://localhost/MultiVendor/edit-role/1"
"2023-01-20 02:16:54am "," update "," UPDATE submenu_details SET `submenu_name` = 'Special Offer', `submenu_link` = 'special-offer', `submenu_position` = '0', `modified_by` = '1', `modified` = '2023-01-20 02:16:54', `is_active` = 1 WHERE 1=1  and submenu_id = '35' "," ::1 "," URL: http://localhost/MultiVendor/submit-submenu "," R: http://localhost/MultiVendor/edit-submenu/35"
