"2023-01-20 22:24:41pm "," update "," UPDATE product_details SET `view_count` = 73 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:41pm "," update "," UPDATE product_details SET `view_count` = 74 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:42pm "," update "," UPDATE product_details SET `view_count` = 75 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:42pm "," update "," UPDATE product_details SET `view_count` = 76 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:43pm "," update "," UPDATE product_details SET `view_count` = 77 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:43pm "," update "," UPDATE product_details SET `view_count` = 78 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:43pm "," update "," UPDATE product_details SET `view_count` = 79 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:44pm "," update "," UPDATE product_details SET `view_count` = 80 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:44pm "," update "," UPDATE product_details SET `view_count` = 81 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:45pm "," update "," UPDATE product_details SET `view_count` = 82 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:45pm "," update "," UPDATE product_details SET `view_count` = 83 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:46pm "," update "," UPDATE product_details SET `view_count` = 84 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:46pm "," update "," UPDATE product_details SET `view_count` = 85 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:46pm "," update "," UPDATE product_details SET `view_count` = 86 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:47pm "," update "," UPDATE product_details SET `view_count` = 87 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:24:47pm "," update "," UPDATE product_details SET `view_count` = 88 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:25:55pm "," update "," UPDATE product_details SET `view_count` = 89 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:25:55pm "," update "," UPDATE product_details SET `view_count` = 90 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:26:07pm "," update "," UPDATE product_details SET `view_count` = 91 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:27:52pm "," update "," UPDATE product_details SET `view_count` = 92 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:29:42pm "," update "," UPDATE product_details SET `view_count` = 93 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:30:28pm "," update "," UPDATE product_details SET `view_count` = 94 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:31:16pm "," update "," UPDATE product_details SET `view_count` = 95 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-20 22:35:48pm "," update "," UPDATE product_details SET `view_count` = 26 WHERE 1=1  and product_id = '77' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-black-ethnic-motifs-printed-kurta-with-palazzos-with-dupatta-s-black-vnky8c75-77 "," R: http://localhost/MultiVendor/shop?category=women"
"2023-01-20 22:36:57pm "," update "," UPDATE product_details SET `view_count` = 27 WHERE 1=1  and product_id = '77' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-black-ethnic-motifs-printed-kurta-with-palazzos-with-dupatta-s-black-vnky8c75-77 "," R: http://localhost/MultiVendor/shop?category=women"
