"2023-01-20 00:16:18am "," update "," UPDATE user SET `last_login` = '2023-01-20 00:16:18' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2023-01-20 00:30:38am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `tag`, `gst_type`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Women Blue Floral Printed Kurta with Trousers & With Dupatta', 'QWERT', 'women-blue-floral-printed-kurta-with-trousers-with-dupatta-m-sky-vne98q7y', 'Women Blue Floral Printed Kurta With Trousers & With Dupatta', '<p>Women Blue Floral Printed Kurta With Trousers &amp; With Dupatta</p>', '72', '2', '24', '2', '1000', 1050, '', 1050, '5', '', 50, ''_amt, 'cover_image.jpg', '12', 'Women Printed Kurta,Kurta With Trousers & With Dupatta', 'exclusive', 0, 0, 0, '', '', '', '1', '2023-01-20 00:30:38', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2023-01-20 00:30:38am "," update "," UPDATE product_details SET `image` = '61Fxn7u8yGL._UY679_.jpg|71Ae0QRs96L._UY679_.jpg|71LGVM1nBAL._UY679_.jpg|71rciujqJGL._UY679_.jpg|711QuZlXbrL._UY679_.jpg' WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2023-01-20 00:30:38am "," update "," UPDATE product_details SET `short_code` = 'women-blue-floral-printed-kurta-with-trousers-with-dupatta-m-sky-vne98q7y-139' WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2023-01-20 00:30:38am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('139', 1, '2', '2023-01-20 00:30:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2023-01-20 00:30:38am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('139', 2, '112', '2023-01-20 00:30:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2023-01-20 00:44:02am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/women-blue-floral-printed-kurta-with-trousers-with-dupatta-m-sky-vne98q7y-139 "," R: http://localhost/MultiVendor/shop?category=women"
"2023-01-20 00:44:27am "," update "," UPDATE product_details SET `product_name` = 'Women Blue Floral Printed Kurta with Trousers & With Dupatta', `product_code` = 'QWERT', `short_code` = 'women-blue-floral-printed-kurta-with-trousers-with-dupatta-m-sky-vne98q7y-139', `short_description` = 'Women Blue Floral Printed Kurta With Trousers & With Dupatta', `description` = '<p>Women Blue Floral Printed Kurta With Trousers &amp; With Dupatta</p>', `brand_id` = '72', `category_id` = '2', `child_category` = '24', `vendor_id` = '2', `unit_price` = '1000', `mrp_price` = 1050, `discount` = '0', `net_price` = 1050, `tax` = '5', `qty` = '', `gst_amt` = 50, `discount_amt` = '0'_amt, `cover_img` = 'cover_image.jpg', `tag` = 'Women Printed Kurta,Kurta With Trousers & With Dupatta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-20 00:44:27', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/139"
"2023-01-20 00:44:28am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 1, '2', NULL, NULL, '2023-01-20 00:44:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/139"
"2023-01-20 00:44:28am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('139', 2, '112', NULL, NULL, '2023-01-20 00:44:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/139"
"2023-01-20 00:44:28am "," update "," UPDATE product_details SET `image` = '' WHERE 1=1  and product_id = '139' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/139"
