"2022-07-27 05:20:12am "," update "," UPDATE brand SET `brand_name` = 'Brand -1', `short_code` = 'brand-1', `brand_logo` = '', `modified_by` = '1', `modified` = '2022-07-27 01:50:12', `is_active` = 1 WHERE 1=1  and brand_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-brand "," R: http://localhost/Admin/edit-brand/1"
"2022-07-27 05:23:44am "," update "," UPDATE brand SET `brand_name` = 'Brand -6', `short_code` = 'brand-6', `brand_logo` = '', `modified_by` = '1', `modified` = '2022-07-27 01:53:44', `is_active` = 1 WHERE 1=1  and brand_id = '6' "," ::1 "," URL: http://localhost/Admin/submit-brand "," R: http://localhost/Admin/edit-brand/6"
"2022-07-27 05:26:15am "," update "," UPDATE brand SET `brand_name` = 'Brand -1', `short_code` = 'brand-1', `brand_logo` = '', `modified_by` = '1', `modified` = '2022-07-27 01:56:15', `is_active` = 1 WHERE 1=1  and brand_id = '1' "," ::1 "," URL: http://localhost/Admin/submit-brand "," R: http://localhost/Admin/edit-brand/1"
