"2023-01-24 03:03:17am "," update "," UPDATE product_details SET `product_name` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `product_code` = 'Kurta', `short_code` = 'women-green-mustard-ethnic-motifs-printed-a-line-kurta-s-mustard-vnky8c75-135', `short_description` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `description` = '<h6>Design Details</h6><p>Colour: green and mustard</p><p>Width: 1.06 metres</p><p>Ethnic motifs printed A-Line panelled Kurta</p><p>round neck</p><p>regular sleeves</p><p>Knee length with flared hem</p><p>tie-up at the back</p>', `brand_id` = '77', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = 1680, `discount` = '30', `net_price` = 1176, `tax` = '12', `qty` = '', `gst_amt` = 180, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta,Women Printed A-Line Kurta,Women Printed Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:03:17', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/135"
"2023-01-24 03:03:17am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('135', 1, '1', 'fwzkGl', '25', '2023-01-24 03:03:17') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/135"
"2023-01-24 03:03:17am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('135', 2, '108', 'fwzkGl', '25', '2023-01-24 03:03:17') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/135"
"2023-01-24 03:03:17am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '135' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/135"
"2023-01-24 03:03:59am "," update "," UPDATE product_details SET `product_name` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `product_code` = 'Kurta', `short_code` = 'women-green-mustard-ethnic-motifs-printed-a-line-kurta-m-mustard-vnky8c75-136', `short_description` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `description` = '<h6>Design Details</h6><p>Colour: green and mustard</p><p>Width: 1.06 metres</p><p>Ethnic motifs printed A-Line panelled Kurta</p><p>round neck</p><p>regular sleeves</p><p>Knee length with flared hem</p><p>tie-up at the back</p>', `brand_id` = '77', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = 1680, `discount` = '30', `net_price` = 1176, `tax` = '12', `qty` = '', `gst_amt` = 180, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta,Women Printed A-Line Kurta,Women Printed Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:03:59', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '136' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/136"
"2023-01-24 03:03:59am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('136', 1, '2', 'fwzkGl', '25', '2023-01-24 03:03:59') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/136"
"2023-01-24 03:03:59am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('136', 2, '108', 'fwzkGl', '25', '2023-01-24 03:03:59') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/136"
"2023-01-24 03:03:59am "," update "," UPDATE product_details SET `image` = '1.webp|2.jpg|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '136' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/136"
"2023-01-24 03:04:13am "," update "," UPDATE product_details SET `product_name` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `product_code` = 'Kurta', `short_code` = 'women-green-mustard-ethnic-motifs-printed-a-line-kurta-l-mustard-vnky8c75-137', `short_description` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta', `description` = '<h6>Design Details</h6><p>Colour: green and mustard</p><p>Width: 1.06 metres</p><p>Ethnic motifs printed A-Line panelled Kurta</p><p>round neck</p><p>regular sleeves</p><p>Knee length with flared hem</p><p>tie-up at the back</p>', `brand_id` = '77', `category_id` = '2', `child_category` = '24', `vendor_id` = '1', `unit_price` = '1500', `mrp_price` = 1680, `discount` = '30', `net_price` = 1176, `tax` = '12', `qty` = '', `gst_amt` = 180, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `tag` = 'Women Green & Mustard Ethnic Motifs Printed A-Line Kurta,Women Printed A-Line Kurta,Women Printed Kurta', `gst_type` = 'exclusive', `is_new_product` = 0, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2023-01-24 03:04:13', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '137' "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/137"
"2023-01-24 03:04:13am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('137', 1, '3', 'fwzkGl', '25', '2023-01-24 03:04:13') "," ::1 "," URL: http://localhost/EthnicWear/submit-product "," R: http://localhost/EthnicWear/edit-product/137"
