"2022-07-26 01:09:00am "," update "," UPDATE category SET `category_name` = 'Category -6', `short_code` = 'category-6', `description` = 'Category -6', `category_image` = '', `modified_by` = '1', `modified` = '2022-07-25 21:39:00', `is_active` = 1 WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/Admin/submit-category "," R: http://localhost/Admin/edit-category/6"
"2022-07-26 01:09:55am "," update "," UPDATE category SET `category_name` = 'Category -6', `short_code` = 'category-6', `description` = 'Category -6', `category_image` = '', `modified_by` = '1', `modified` = '2022-07-25 21:39:55', `is_active` = 1 WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/Admin/submit-category "," R: http://localhost/Admin/edit-category/6"
"2022-07-26 01:11:24am "," update "," UPDATE category SET `category_name` = 'Category -6', `short_code` = 'category-6', `description` = 'Category -6', `category_image` = '', `modified_by` = '1', `modified` = '2022-07-25 21:41:24', `is_active` = 1 WHERE 1=1  and category_id = '6' "," ::1 "," URL: http://localhost/Admin/submit-category "," R: http://localhost/Admin/edit-category/6"
