"2022-12-30 02:14:16am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:23am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:24am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:25am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:25am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:25am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:14:26am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '108' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-rust-orange-embroidered-a-line-longline-top-m-orange-red-vnky8c75-108 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:16:35am "," update "," UPDATE product_details SET `view_count` = 39 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:17:14am "," update "," UPDATE product_details SET `view_count` = 40 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-30 02:17:14am "," update "," UPDATE product_details SET `view_count` = 41 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
