"2022-09-30 00:29:46am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 00:30:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '7', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 00:32:53am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""2"",""2"":""9"",""5"":""50""}' WHERE 1=1  and cart_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
