"2022-09-30 01:48:10am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""1"",""2"":""9"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 01:48:21am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""1"",""2"":""9"",""5"":""50""}' WHERE 1=1  and cart_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
"2022-09-30 01:48:36am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""2"",""2"":""9"",""5"":""50""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dennis-lingo-men-shirt?pid=7"
