"2023-01-19 03:43:55am "," update "," UPDATE vendor SET `last_login` = '2023-01-19 03:43:55' WHERE 1=1  and vendor_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2023-01-19 03:45:25am "," update "," UPDATE user SET `last_login` = '2023-01-19 03:45:25' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2023-01-19 03:47:03am "," update "," UPDATE product_details SET `view_count` = 169 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men"
