"2022-08-14 01:12:39am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`) VALUES('1', '3', 'NIRVANA DOUBLE COMFORTER - 2807197679146', '1', '200', 200) "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addToCart "," R: "
"2022-08-14 01:14:54am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`) VALUES('1', '2', 'PLUMERIA CURTAINS - 2807197674691', '2', '315', 630) "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addToCart "," R: "
"2022-08-14 01:15:46am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_quantity`, `total_amount`, `order_date`) VALUES('ORD-1', '1', '5', '1230', '2022-08-13') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-08-14 01:15:46am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`) VALUES('1', '3', '3', '200') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-08-14 01:15:46am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `quantity`, `net_price`) VALUES('1', '2', '2', '315') "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
