"2023-01-14 04:23:38am "," insert "," INSERT INTO brand(`brand_name`, `short_code`, `brand_logo`, `created_by`, `created`) VALUES('Johnson & Johnson', 'johnson-johnson', '', '2', '2023-01-14 04:23:38') "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/add-brand"
"2023-01-14 04:25:01am "," update "," UPDATE brand SET `brand_name` = 'Johnson & Johnson', `short_code` = 'johnson-johnson', `brand_logo` = 'download.png', `modified_by` = '2', `modified` = '2023-01-14 04:25:01', `is_active` = 1 WHERE 1=1  and brand_id = '84' "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/edit-brand/84"
"2023-01-14 04:53:04am "," update "," UPDATE brand SET `brand_name` = 'Johnson & Johnson', `short_code` = 'johnson-johnson', `brand_logo` = 'download.png', `modified_by` = '999', `modified` = '2023-01-14 04:53:04', `is_active` = 1 WHERE 1=1  and brand_id = '84' "," ::1 "," URL: http://localhost/MultiVendor/submit-brand "," R: http://localhost/MultiVendor/edit-brand/84"
