"2022-08-22 00:02:41am "," update "," UPDATE coupon SET `coupon_code` = 'aa', `start_date` = '2022-08-01', `expiry_date` = '2022-08-31', `updated_by` = '1', `update_at` = '2022-08-22 00:02:41', `is_active` = 1 WHERE 1=1  and coupon_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-coupon "," R: http://localhost/MultiVendor/edit-coupon/1"
"2022-08-22 00:03:16am "," update "," UPDATE coupon SET `coupon_code` = 'aa', `start_date` = '2022-08-01', `expiry_date` = '2022-08-31', `updated_by` = '1', `update_at` = '2022-08-22 00:03:16', `is_active` = 1 WHERE 1=1  and coupon_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-coupon "," R: http://localhost/MultiVendor/edit-coupon/1"
"2022-08-22 00:36:45am "," update "," UPDATE coupon SET `coupon_code` = 'ABC123', `coupon_amount` = '50', `description` = 'test', `start_date` = '2022-08-02', `expiry_date` = '2022-08-23', `updated_by` = '1', `update_at` = '2022-08-22 00:36:45', `is_active` = 1 WHERE 1=1  and coupon_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-coupon "," R: http://localhost/MultiVendor/edit-coupon/2"
