"2022-08-30 04:14:57am "," update "," UPDATE product_details SET `product_name` = 'Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model)', `product_code` = 'Mi 5A', `short_code` = 'mi-5a-80-cm-32-inch-hd-ready-led-smart-android-tv-with-dolby-audio-2022-model', `short_description` = 'Mi 5A 80 Cm (32 Inch) HD Ready LED Smart Android TV With Dolby Audio (2022 Model)', `description` = '<ul style=""list-style-type: disc;""><li>Supported Apps: Netflix|Prime Video|Disney+Hotstar|Youtube</li><li>Operating System: Android (Google Assistant &amp; Chromecast in-built)</li><li>Resolution: HD Ready 1366 x 768 Pixels</li><li>Sound Output: 20 W</li><li>Refresh Rate: 60 Hz</li></ul><p><span style=""color: rgb(33, 33, 33); font-family: Roboto, Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">You can enjoy your favourite movies, catch up on news, and binge-watch TV series on the Xiaomi L32M7-5AIN HD Smart TV. It features an elegant metal frame with a bezel-less design, allowing you to enjoy a widescreen view. In addition, this TV is sure to enhance your aural experience with Dolby Audio, which provides 20 W high-fidelity sound. Furthermore, boasting a HD display and wide colour gamut, this TV provides high-quality visuals.</span></p>', `brand_id` = '10', `category_id` = '8', `child_category` = '27', `vendor_id` = '1', `mrp_price` = '24999', `discount` = '44', `net_price` = '13999.44', `tax` = '0', `qty` = '', `gst_amt` = 0, `discount_amt` = '44'_amt, `cover_img` = 'cover_image.jpg', `stock` = '0', `meta_title` = 'Mi 5A ', `meta_keyword` = 'Mi 5A ', `meta_description` = 'Mi 5A ', `modified_by` = '1', `modified` = '2022-08-30 04:14:57', `is_active` = 1 WHERE 1=1  and product_id = '12' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/12"
"2022-08-30 04:14:57am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('12', 2, '10', '2022-08-30 04:14:57') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/12"
"2022-08-30 04:14:57am "," update "," UPDATE product_details SET `image` = '51fmHk3km+L._SX300_SY300_.jpg|51yBtjwfDPL._SY450_.jpg|61-LihKQnOL._SY450_.jpg|71u24tMwkfL._SY450_.jpg|81Ef8+Fyz1L._SY450_.jpg' WHERE 1=1  and product_id = '12' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/12"
