"2022-12-10 03:04:32am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-l-red-vnky8c75-119"
"2022-12-10 03:04:42am "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:04:46am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '115') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2022-12-10 03:05:49am "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:05:49am "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:05:50am "," update "," UPDATE product_details SET `view_count` = 21 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:05:53am "," update "," UPDATE product_details SET `view_count` = 22 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:05:53am "," update "," UPDATE product_details SET `view_count` = 23 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115 "," R: http://localhost/EthnicWear/shop"
"2022-12-10 03:05:58am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '117' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2022-12-10 03:05:58am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '117') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-s-black-vnky8c75-115"
"2022-12-10 03:06:01am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '117') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:06:06am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:06:06am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '116') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116 "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-l-black-vnky8c75-117"
"2022-12-10 03:06:09am "," insert "," INSERT INTO whish_list(`customer_id`, `product_id`) VALUES('1', '116') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtowhisList "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
