"2023-01-03 00:34:37am "," update "," UPDATE category SET `child_category` = '27,28,26,25,58' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/24"
"2023-01-03 00:34:37am "," update "," UPDATE category SET `category_name` = 'Kurtas & Suits', `short_code` = 'indian-fusion-wear-kurtas-suits', `parent_category_id` = '22', `hierarchy` = '2,22,24', `element_id` = '', `description` = 'Kurtas & Suits', `category_image` = 'product-13-2.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:34:37', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '24' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/24"
"2023-01-03 00:34:37am "," update "," UPDATE category SET `child_category` = '27,28,26,25,58,24' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/24"
"2023-01-03 00:35:13am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:35:13am "," update "," UPDATE category SET `category_name` = 'Sarees', `short_code` = 'indian-fusion-wear-sarees', `parent_category_id` = '22', `hierarchy` = '2,22,26', `element_id` = '', `description` = 'Sarees', `category_image` = 'product-16-4.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:35:13', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '26' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:35:13am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24,26' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:37:16am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:37:16am "," update "," UPDATE category SET `category_name` = 'Sarees', `short_code` = 'indian-fusion-wear-sarees', `parent_category_id` = '22', `hierarchy` = '2,22,26', `element_id` = '', `description` = 'Sarees', `category_image` = 'product-5-1.jpg', `modified_by` = '1', `modified` = '2023-01-03 00:37:16', `return_or_replace` = '', `return_replace_validity` = '', `policy_covers` = '', `return_policy` = '', `is_active` = 1 WHERE 1=1  and category_id = '26' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:37:16am "," update "," UPDATE category SET `child_category` = '27,28,25,58,24,26' WHERE 1=1  and category_id = '22' "," ::1 "," URL: http://localhost/EthnicWear/submit-category "," R: http://localhost/EthnicWear/edit-category/26"
"2023-01-03 00:41:42am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:41:42', `is_active` = '2' WHERE 1=1  and product_id = '119' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:41:46am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:41:46', `is_active` = '2' WHERE 1=1  and product_id = '120' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:41:49am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:41:49', `is_active` = '2' WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:41:52am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:41:52', `is_active` = '2' WHERE 1=1  and product_id = '122' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:41:55am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:41:55', `is_active` = '2' WHERE 1=1  and product_id = '123' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:42:00am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:42:00', `is_active` = '2' WHERE 1=1  and product_id = '128' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:42:04am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:42:04', `is_active` = '2' WHERE 1=1  and product_id = '127' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:42:07am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:42:07', `is_active` = '2' WHERE 1=1  and product_id = '126' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:42:09am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:42:09', `is_active` = '2' WHERE 1=1  and product_id = '125' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
"2023-01-03 00:42:12am "," update "," UPDATE product_details SET `modified_by` = '1', `modified` = '2023-01-03 00:42:12', `is_active` = '2' WHERE 1=1  and product_id = '124' "," ::1 "," URL: http://localhost/EthnicWear/Admin/Product/updateStatus "," R: http://localhost/EthnicWear/all-product"
