"2022-12-15 21:21:03pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '116', '1', '{""1"":""2"",""2"":""10""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/womens-casual-digital-printed-shirt-ruffle-sleeve-tops-m-black-vnky8c75-116"
"2022-12-15 21:35:27pm "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:39:26pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:28pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:30pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:31pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:32pm "," update "," UPDATE customer_cart SET `quantity` = '4' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:33pm "," update "," UPDATE customer_cart SET `quantity` = '5' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:33pm "," update "," UPDATE customer_cart SET `quantity` = '6' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:34pm "," update "," UPDATE customer_cart SET `quantity` = '7' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:34pm "," update "," UPDATE customer_cart SET `quantity` = '6' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:35pm "," update "," UPDATE customer_cart SET `quantity` = '5' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:35pm "," update "," UPDATE customer_cart SET `quantity` = '4' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:35pm "," update "," UPDATE customer_cart SET `quantity` = '3' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:36pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:39:36pm "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '116' "," ::1 "," URL: http://localhost/EthnicWear/Home/updateItemQuantity "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:47:53pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = NULL and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/clearCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:48:03pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = NULL and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/clearCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:48:35pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/clearCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:50:08pm "," update "," UPDATE product_details SET `view_count` = 105 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:50:12pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""6""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-15 21:50:42pm "," update "," UPDATE product_details SET `view_count` = 106 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:50:44pm "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""2"",""2"":""6""}' WHERE 1=1  and cart_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-15 21:50:52pm "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:50:54pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '129', '1', '{""10"":""144""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-12-15 21:51:00pm "," update "," UPDATE product_details SET `view_count` = 24 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:51:00pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '5') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:51:03pm "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-15 21:51:03pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '7') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-15 21:51:07pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '7', '1', '{""1"":""3"",""2"":""109""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2022-12-15 21:51:16pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:51:19pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '129' and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/removeFromCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:51:31pm "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:51:33pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-15 21:51:38pm "," update "," UPDATE product_details SET `view_count` = 25 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:51:38pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '14') "," ::1 "," URL: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:51:40pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '14', '1', '{""1"":""1"",""2"":""115""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-15 21:51:44pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/clearCart "," R: http://localhost/EthnicWear/cart"
"2022-12-15 21:52:36pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '14', '1', '{""1"":""1"",""2"":""115""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-15 21:52:46pm "," update "," UPDATE product_details SET `view_count` = 107 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2022-12-15 21:52:48pm "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '121' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121 "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2022-12-15 21:52:50pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '121', '1', '{""1"":""4"",""2"":""6""}') "," ::1 "," URL: http://localhost/EthnicWear/Home/addtocart "," R: http://localhost/EthnicWear/product-detail/allen-solly-womens-regular-fit-t-shirt-xl-red-vnky8c75-121"
"2022-12-15 21:52:55pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/EthnicWear/Home/clearCart "," R: http://localhost/EthnicWear/cart"
