"2022-11-29 22:00:08pm "," update "," UPDATE product_details SET `variant_code` = 'xhOfSq', `parent_product_id` = '9' WHERE 1=1  and product_id = '50' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/9"
"2022-11-29 22:00:08pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'xhOfSq', `parent_product_id` = '9' WHERE 1=1  and product_id = '50' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/9"
"2022-11-29 22:00:49pm "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-30-vnky8c75-43 "," R: http://localhost/MultiVendor/shop"
