"2022-11-29 23:27:24pm "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '55' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-beige-carrot-fit-stretchable-jeans-beige-32-vne98q7y-55 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:27:24pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '55') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-beige-carrot-fit-stretchable-jeans-beige-32-vne98q7y-55 "," R: http://localhost/MultiVendor/shop?category=men"
"2022-11-29 23:27:50pm "," insert "," INSERT INTO parent_product_listing(`vendor_id`, `parent_name`, `variant_code`, `is_active`) VALUES('2', 'Men Beige Carrot Fit Stretchable Jeans-Pantaloons', 'vXIQtx', 1) "," ::1 "," URL: http://localhost/MultiVendor/submit-parent-product "," R: http://localhost/MultiVendor/add-parent-product"
"2022-11-29 23:27:55pm "," update "," UPDATE product_details SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '55' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:27:55pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '55' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:27:57pm "," update "," UPDATE product_details SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:27:57pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:28:01pm "," update "," UPDATE product_details SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '57' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:28:01pm "," update "," UPDATE product_elements_attributes SET `variant_code` = 'vXIQtx', `parent_product_id` = '11' WHERE 1=1  and product_id = '57' "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/addVariantToProduct "," R: http://localhost/MultiVendor/edit-parent-product/11"
"2022-11-29 23:28:38pm "," update "," UPDATE product_details SET `product_name` = 'Men Beige Carrot Fit Stretchable Jeans', `product_code` = 'JEANS03', `short_code` = 'men-beige-carrot-fit-stretchable-jeans-beige-34-vne98q7y-56', `short_description` = 'Men Beige Carrot Fit Stretchable Jeans', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '21', `category_id` = '1', `child_category` = '13', `vendor_id` = '2', `unit_price` = '1100', `mrp_price` = 1232, `discount` = '35', `net_price` = 801, `tax` = '12', `qty` = '', `gst_amt` = 132, `discount_amt` = '35'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '2', `modified` = '2022-11-29 23:28:38', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/56"
