"2022-08-04 09:16:55am "," update "," UPDATE user SET `last_login` = '2022-08-04 05:46:55' WHERE 1=1  and user_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
"2022-08-04 09:18:33am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `vendor_id`, `mrp_price`, `discount`, `net_price`, `tax`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`) VALUES('ttttttttttttt', 'tttt', 'ttttttttttttt', 'ttttttttttttt', '<p>ttttttttttttttttttttttt</p>', '1', '17', '1', '500', '50', '250', '0', 0, 0, 0, '', '', '', '1', '2022-08-04 05:48:33') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-04 09:18:34am "," update "," UPDATE product_details SET `image` = 'Mustard Oil 5 ltr 1.png' WHERE 1=1  and product_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-04 09:18:34am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 1, '2,3', '2022-08-04 05:48:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-04 09:18:34am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 2, '7', '2022-08-04 05:48:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-04 09:18:34am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 3, '14,15', '2022-08-04 05:48:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-08-04 09:18:34am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('4', 5, '46,47', '2022-08-04 05:48:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
