"2022-08-18 02:26:10am "," update "," UPDATE product_details SET `product_name` = 'NIRVANA DOUBLE COMFORTER - 2807197679146', `product_code` = '2807197671690', `short_code` = 'nirvana-double-comforter-2807197679146', `short_description` = 'eee', `description` = '<p>eee</p>', `brand_id` = '5', `category_id` = '2', `child_category` = '10', `vendor_id` = '2', `mrp_price` = '200', `discount` = '5', `net_price` = '190', `tax` = '5', `qty` = '250', `gst_amt` = 9.5, `discount_amt` = '5'_amt, `meta_title` = 'Meta Title', `meta_keyword` = 'Meta Keyword', `meta_description` = 'Meta Description', `modified_by` = '1', `modified` = '2022-08-17 22:56:10', `is_active` = 1 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/3"
"2022-08-18 02:26:10am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('3', 9, '73', '2022-08-17 22:56:10') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/3"
"2022-08-18 02:26:10am "," update "," UPDATE product_details SET `image` = '1.jpeg' WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/3"
