"2023-01-05 21:11:12pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('jeans', '1', 'men', '2023-01-05') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-05 21:12:12pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('kurta', '1', 'men', '2023-01-05') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
"2023-01-05 21:12:38pm "," insert "," INSERT INTO recent_search(`keyword`, `customer_id`, `category`, `created_at`) VALUES('kurta', '1', '', '2023-01-05') "," ::1 "," URL: https://localhost/MultiVendor/api/MultivendorApi/searchBykeywords "," R: "
