"2022-08-06 00:47:50am "," update "," UPDATE product_details SET `product_name` = 'PLUMERIA CURTAINS - 2807197674691', `product_code` = '2807197673632', `short_code` = 'plumeria-curtains-2807197674691', `short_description` = 'Lorem ipsum dolor sit amet', `description` = '<p><span style='color: rgb(0, 0, 0); font-family: ""Open Sans"", Arial, sans-serif; font-size: 14px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;'>Lorem ipsum dolor sit amet</span></p>', `brand_id` = '1', `category_id` = '2', `mrp_price` = '350', `discount` = '10', `net_price` = '315', `tax` = '0', `qty` = '5', `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-08-05 21:17:50', `is_active` = 1 WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/2"
"2022-08-06 00:47:50am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('2', 9, '76', '2022-08-05 21:17:50') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/2"
"2022-08-06 00:47:50am "," update "," UPDATE product_details SET `image` = 'pr-03.jpg|pr-06.jpg|pr-07.jpg' WHERE 1=1  and product_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/2"
